river,year,DOC_centroid,DOC-channel-mean_centroid,glofas-discharge-channel-mean_centroid,observed-discharge_centroid,snowmelt_centroid,SoilW-0-28cm-cm_centroid,SoilW-28-100cm-cm_centroid
Ob,2020,126.6315037,124.6056872,137.2699226,144.1938648,104.5239247,119.152967,121.5068186
Ob,2021,125.4269135,123.1240404,140.8771592,142.4027971,110.3540517,118.4496951,121.0679922
Ob,2022,126.7596818,123.2288513,139.3456934,146.7538209,111.8787496,119.3361954,121.5010176
Ob,2023,125.0437127,122.4190314,140.1731989,144.456709,112.5081721,117.584336,121.1923048
Ob,2024,126.8900832,124.4594925,143.7429352,148.8391787,116.3066096,121.1906308,122.6040383
Ob,2025,125.4914723,123.4550244,137.0573399,146.0808996,108.022164,118.9050016,120.7103556
Yenisey,2000,134.5259819,130.056478,143.9022759,146.5759047,135.5963721,122.5791691,123.820236
Yenisey,2001,132.6071447,128.9200723,146.1133698,148.587937,136.1156218,121.9441329,122.842882
Yenisey,2002,134.0266276,128.5160189,145.1818285,145.5858982,138.3164051,121.4754695,122.615574
Yenisey,2003,134.0176768,128.8345534,145.5788247,147.9670108,138.4829377,121.4718456,122.7586507
Yenisey,2004,134.1973955,130.1685869,149.688425,151.9984181,142.1792302,123.1257619,123.9486373
Yenisey,2005,133.6613108,129.1851508,142.31751,141.453021,135.5211658,121.8440697,122.7230753
Yenisey,2006,132.4679034,129.2970414,146.9127098,149.6303189,143.0622521,121.9308486,122.7140178
Yenisey,2007,132.9137456,128.76554,141.5241508,144.3477965,134.1849139,122.4472805,122.962012
Yenisey,2008,134.5324254,129.907316,145.8770633,147.7083302,139.7413376,123.1533424,123.729426
Yenisey,2009,133.0409143,128.979319,141.4221706,146.7255813,136.4413572,121.9638473,122.5342669
Yenisey,2010,133.5895925,129.8877219,141.8376973,146.5718944,136.9385606,122.1962524,122.8436815
Yenisey,2011,132.3565301,128.2433349,132.3164932,137.9024789,123.9695541,120.287129,121.9979229
Yenisey,2012,132.3122544,129.6912017,140.4717126,145.7053357,134.2294495,122.1100245,123.5818609
Yenisey,2013,133.3782837,128.6421768,138.9341123,145.8763925,128.7327532,121.8359673,123.0538354
Yenisey,2014,134.2879771,127.8915711,139.3100468,147.9455314,136.1604363,121.3837354,122.4177255
Yenisey,2015,132.0899237,128.8466466,144.5394019,145.7909023,132.9328729,121.2476399,122.5446884
Yenisey,2016,132.8356251,129.0466914,149.4901203,145.9396392,138.4602222,122.0721547,123.7146243
Yenisey,2017,132.1407396,128.1620572,146.4462175,148.3965797,135.8578556,121.6115599,123.0661468
Yenisey,2018,132.807425,128.6343429,148.2305696,149.639704,139.6724962,120.9915312,122.580919
Yenisey,2019,132.7210033,127.5569991,145.6560164,148.2002961,141.3013714,121.6805976,122.7346675
Yenisey,2020,134.0937096,128.4342853,136.0311011,137.4741182,125.1750207,122.268391,123.1943771
Yenisey,2021,133.5923806,129.1377138,143.2518691,143.2993974,136.4292788,122.4917285,123.1292035
Yenisey,2022,132.1666174,128.4821062,137.3813497,140.6324607,130.2129324,121.2198398,122.5057599
Yenisey,2023,134.1083057,129.2705409,144.0166073,144.6618649,138.2793339,121.660572,122.5775931
Yenisey,2024,134.439542,129.207632,144.5823296,146.3306013,138.7642448,122.3002235,123.5317594
Yenisey,2025,133.9875001,128.3075158,143.0240369,144.0621825,134.9514502,121.4838876,122.3200014
Yukon,2000,134.5864188,135.6180673,156.0615694,149.0567765,142.6864679,123.7672441,125.0892912
Yukon,2001,133.9820999,133.8554056,155.5832951,153.9969363,145.6115093,122.3521889,123.9413924
Yukon,2002,135.0346677,134.545426,149.8008611,148.4813856,136.396979,121.5517231,123.4049417
Yukon,2003,131.1758914,133.276451,147.8777083,147.4762136,131.0164332,120.8570416,122.874685
Yukon,2004,131.9358229,133.9239336,149.3312436,149.4915986,131.3223323,121.7054291,124.2252818
Yukon,2005,134.8622769,134.0489417,147.5017802,145.5389904,127.8825704,122.965365,123.9007804
Yukon,2006,135.4704429,135.2523047,150.4404095,148.8079088,138.0512853,121.9342544,123.5094088
Yukon,2007,131.8492843,132.4672851,147.0676118,145.3702749,129.3997494,119.894403,122.3416621
Yukon,2008,135.9384925,135.3495581,150.0363037,149.8443641,133.8738699,123.0551357,124.3295199
Yukon,2009,133.791326,134.2015662,147.4953519,149.2900782,132.3268931,121.960741,123.5007115
Yukon,2010,132.8924514,132.9580194,144.5612207,144.3907146,128.0166518,120.7030824,122.7833559
Yukon,2011,132.8063359,134.5114539,151.2620372,148.3452462,135.4988163,122.4626023,123.5801591
Yukon,2012,136.2471479,135.4984773,150.6322555,150.8514851,134.3235932,122.8845438,124.6604748
Yukon,2013,135.1388073,135.0108811,153.4739123,153.5273247,143.299626,120.8603905,123.1644852
Yukon,2014,133.5573052,133.6244361,146.5410629,146.0427413,129.1943228,121.7206064,123.2497746
Yukon,2015,132.3564507,133.0945939,148.0145269,145.7340413,129.3773186,120.2389123,122.7665774
Yukon,2016,132.000949,133.4773732,146.6293457,144.9631173,124.3187565,122.0767543,123.805561
Yukon,2017,132.7581515,133.6848539,149.8533532,146.1865179,128.4094975,120.4519386,123.2370096
Yukon,2018,133.8691686,134.323794,152.1394463,149.0607496,134.6017719,122.4486773,123.6773961
Yukon,2019,134.5223711,132.6548175,142.1540735,146.3978522,126.9422489,120.253612,122.7223438
Yukon,2020,134.2060121,135.1595518,147.2428746,148.1972241,130.2541249,123.2810165,124.2527781
Yukon,2021,131.9633316,133.8796215,147.7649455,147.0321128,132.104176,121.6091078,123.4348201
Yukon,2022,133.3881375,134.2551825,150.068774,150.9338284,136.6616666,121.5092656,123.3951795
Yukon,2023,136.96819,135.3508113,149.8751972,149.9719964,135.5199366,122.6325662,123.7643852
Yukon,2024,137.1085416,135.3678975,148.3599007,148.6915579,132.8248062,122.6995251,124.5246605
Yukon,2025,135.7442334,134.3152239,148.4615812,147.7503878,135.6802314,121.9583775,123.6052714
