day_number,Ob,Yenisey,Lena,Kolyma,Yukon,Mackenzie
166,10.88580769,7.606,10.94703846,5.079115385,7.858346154,4.965538462
167,10.94915385,7.539115385,10.96853846,5.029269231,7.777307692,4.934346154
168,10.95269231,7.450076923,11.06111538,4.9635,7.801,4.919576923
169,11.00365385,7.420192308,11.04346154,4.951615385,7.79136,4.900884615
170,11.07611538,7.316153846,10.92965385,4.935576923,7.72644,4.883153846
171,11.10565385,7.209230769,10.87373077,4.907769231,7.62868,4.860153846
172,11.16176,7.161884615,10.93019231,4.90532,7.58212,4.852538462
173,11.15024,7.095346154,10.87646154,4.87552,7.45344,4.831076923
174,11.14636,7.031884615,10.72515385,4.8532,7.26728,4.79428
175,11.1858,6.99672,10.52972,4.83324,7.213833333,4.78104
176,11.22632,6.93404,10.48956,4.8064,7.188458333,4.78108
177,11.20746154,6.88012,10.38465385,4.781730769,7.01308,4.777192308
178,11.19534615,6.79836,10.33096154,4.782769231,6.951,4.767576923
179,11.2125,6.78272,10.27892308,4.769807692,6.850576923,4.770346154
180,11.20557692,6.673307692,10.22169231,4.751884615,6.77708,4.767615385
181,11.23026923,6.645230769,10.24069231,4.737115385,6.68244,4.760538462
182,11.25384615,6.619076923,10.23746154,4.715807692,6.67756,4.758730769
183,11.23419231,6.570115385,10.1215,4.718615385,6.6428,4.762346154
184,11.17657692,6.595384615,10.01692308,4.7135,6.52004,4.766923077
185,11.20903846,6.585269231,9.93,4.699653846,6.4815,4.759
186,11.22634615,6.573576923,9.9235,4.699423077,6.381115385,4.761884615
187,11.27442308,6.608384615,9.872692308,4.683423077,6.399461538,4.768961538
188,11.31126923,6.584,9.818269231,4.668269231,6.368115385,4.761692308
189,11.32515385,6.574961538,9.646692308,4.667115385,6.3165,4.753615385
190,11.38934615,6.527,9.712307692,4.668769231,6.262916667,4.748730769
191,11.33915385,6.502846154,9.7445,4.670153846,6.209708333,4.760384615
192,11.34873077,6.433269231,9.767115385,4.660269231,6.190666667,4.752461538
193,11.34988462,6.392961538,9.710961538,4.670692308,6.15016,4.748153846
194,11.321,6.413076923,9.678807692,4.662884615,6.17228,4.746884615
195,11.27919231,6.405538462,9.633692308,4.656653846,6.042,4.744846154
196,11.30480769,6.387961538,9.542346154,4.658038462,5.951818182,4.742961538
197,11.33692308,6.448538462,9.552653846,4.642730769,5.884083333,4.747730769
198,11.35396154,6.448653846,9.569692308,4.631653846,5.819541667,4.745538462
199,11.28526923,6.428807692,9.535153846,4.622730769,5.809086957,4.747038462
200,11.27965385,6.4285,9.425269231,4.621076923,5.801173913,4.743653846
201,11.33392308,6.439192308,9.423346154,4.630115385,5.79992,4.74608
202,11.35926923,6.429384615,9.376615385,4.622653846,5.837208333,4.7495
203,11.36053846,6.375461538,9.388346154,4.626423077,5.81584,4.756692308
204,11.33811538,6.387653846,9.376807692,4.632769231,5.81804,4.7585
205,11.33688462,6.388307692,9.441192308,4.6185,5.85292,4.759884615
206,11.28442308,6.377884615,9.3115,4.632846154,5.8036,4.756115385
207,11.31976923,6.340153846,9.376615385,4.609923077,5.837583333,4.753961538
208,11.36853846,6.349461538,9.366153846,4.609653846,5.864791667,4.751269231
209,11.34830769,6.382384615,9.436884615,4.59048,5.853625,4.752153846
210,11.41957692,6.370923077,9.448153846,4.63796,5.795208333,4.754615385
211,11.38007692,6.390307692,9.428461538,4.63096,5.797333333,4.758230769
212,11.39446154,6.416192308,9.493653846,4.668076923,5.80308,4.744076923
213,11.34596154,6.397346154,9.519615385,4.653576923,5.89552,4.746153846
214,11.29823077,6.4415,9.537846154,4.656730769,5.86972,4.749807692
215,11.34215385,6.446346154,9.457615385,4.63648,5.850958333,4.753576923
216,11.32180769,6.4142,9.408307692,4.62072,5.877333333,4.745846154
217,11.22988462,6.39004,9.348846154,4.6284,5.962,4.744730769
218,11.27469231,6.3992,9.305423077,4.62436,5.994,4.737346154
219,11.20244,6.41256,9.284423077,4.6266,6.006608696,4.742076923
220,11.13864,6.466,9.319923077,4.63448,6.074333333,4.747538462
221,11.12352,6.49364,9.412692308,4.711,6.058454545,4.757576923
222,11.17204,6.521916667,9.439038462,4.740538462,5.970545455,4.754884615
223,11.14892,6.539958333,9.410192308,4.741038462,5.954545455,4.759192308
224,11.13844,6.6898,9.444230769,4.747153846,6.032045455,4.764115385
225,11.25892,6.55384,9.467615385,4.68032,6.166863636,4.762230769
226,11.22844,6.588291667,9.511076923,4.67468,6.2193,4.78648
227,11.1886,6.58124,9.498269231,4.689458333,6.207380952,4.78924
228,11.09756,6.59544,9.496923077,4.69044,6.240238095,4.78556
229,11.12930769,6.5998,9.481,4.70572,6.257380952,4.789
230,11.17496154,6.690833333,9.534346154,4.74528,6.236454545,4.78924
231,11.12765385,6.6748,9.558307692,4.76476,6.321238095,4.79964
232,11.05992308,6.65156,9.552653846,4.791807692,6.27935,4.80064
