day_number,Ob,Yenisey,Lena,Kolyma,Yukon,Mackenzie
232,1.7319744,1.540246154,2.51424,0.495537231,0.978141312,1.137379569
233,1.690388352,1.539581538,2.498953846,0.489598892,0.9751104,1.132700677
234,1.664281728,1.558523077,2.484,0.486844062,0.972065664,1.126360246
235,1.63178496,1.56384,2.466553846,0.488322831,0.96963264,1.115613415
236,1.59964416,1.559187692,2.454424615,0.491782154,0.968063616,1.106793969
237,1.56653568,1.554535385,2.421858462,0.493859077,0.968357376,1.099084431
238,1.53432576,1.551544615,2.403249231,0.4988736,0.969515136,1.091238646
239,1.5064704,1.546892308,2.388295385,0.504602585,0.973247616,1.083582277
240,1.4802048,1.534929231,2.377728,0.503811692,0.980194176,1.074347446
241,1.450656,1.529612308,2.375136,0.505499815,0.984693888,1.067681354
242,1.42331904,1.526289231,2.369220923,0.513219323,0.988989696,1.059785723
243,1.39791744,1.537587692,2.360647385,0.527887385,0.993309696,1.063447754
244,1.37510784,1.550547692,2.366363077,0.525697477,0.996644736,1.071180554
245,1.35986688,1.577132308,2.377794462,0.534839262,1.001137536,1.075922585
246,1.34963712,1.588763077,2.383908923,0.549165046,1.004458752,1.076480862
247,1.329696,1.599064615,2.411779968,0.562460677,1.008578304,1.072576246
248,1.31317632,1.61136,2.422403712,0.566980062,1.01063808,1.069808123
249,1.2978,1.6022016,2.434752,0.55513728,1.012483584,1.069874585
250,1.28034,1.6108416,2.4385536,0.553696128,1.01464704,1.068282831
251,1.26036,1.617408,2.4482304,0.549790848,1.01689344,1.060151262
252,1.237104,1.622592,2.4686208,0.547299072,1.017771264,1.052807262
253,1.218888,1.6322688,2.4893568,0.54736128,1.017491328,1.042176738
254,1.198008,1.6512768,2.4903936,0.534563712,1.015714944,1.036700308
255,1.18008,1.6661376,2.4966144,0.52709184,1.01229696,1.029994338
256,1.173636,1.6668288,2.503872,0.515054592,1.0090656,1.024684062
257,1.164852,1.6803072,2.494368,0.504009216,1.006625664,1.019952
258,1.153152,1.6861824,2.483136,0.494947584,1.0038816,1.017426462
259,1.137708,1.6872192,2.4793344,0.490852224,0.998694144,1.009304862
260,1.12518,1.6841088,2.4738048,0.487199232,0.993993984,1.001479015
261,1.109196,1.6799616,2.4717312,0.48119616,0.988706304,0.994979077
