ID	lon	lat	DOC	POC	discharge	QlagDOC	QlagPOC	FID
1406885	89.775	61.675	134.181	123.41135	138.094127	3.913128	14.682777	NA
1406894	90.225	61.675	NA	NA	146.688802	NA	NA	NA
1406895	90.275	61.675	NA	NA	146.66802	NA	NA	NA
1406896	90.325	61.675	130.298605	122.772632	146.654933	16.356328	23.882301	NA
1406897	90.375	61.675	127.078856	123.272919	146.649846	19.57099	23.376927	NA
1406898	90.425	61.675	127.302602	123.620291	146.635038	19.332436	23.014748	NA
1406899	90.475	61.675	124.6499	123.373837	146.625589	21.975689	23.251752	NA
1406900	90.525	61.675	130.016194	123.043764	146.62081	16.604616	23.577046	NA
1406901	90.575	61.675	127.282176	123.422402	146.614306	19.33213	23.191903	NA
1406902	90.625	61.675	125.300302	123.806174	140.253359	14.953057	16.447185	NA
1406904	90.725	61.675	128.27052	123.839981	138.804677	10.534157	14.964696	NA
1406905	90.775	61.675	126.814908	124.176446	146.560218	19.74531	22.383772	NA
1406906	90.825	61.675	131.978049	124.239336	146.604786	14.626737	22.365449	NA
1406907	90.875	61.675	NA	NA	146.597276	NA	NA	NA
1407009	95.975	61.675	NA	NA	143.905925	NA	NA	NA
1412845	61.775	61.625	NA	NA	138.052495	NA	NA	NA
1412846	61.825	61.625	NA	NA	138.049153	NA	NA	NA
1412859	62.475	61.625	NA	NA	138.802797	NA	NA	NA
1412860	62.525	61.625	NA	NA	138.81462	NA	NA	NA
1412861	62.575	61.625	NA	NA	138.814021	NA	NA	NA
1412862	62.625	61.625	NA	NA	138.873888	NA	NA	NA
1412961	67.575	61.625	124.539988	123.676963	134.408362	9.868374	10.731399	NA
1412962	67.625	61.625	125.46099	123.457405	142.84913	17.38814	19.391725	NA
1412963	67.675	61.625	125.101588	123.106501	142.836979	17.735391	19.730478	NA
1412964	67.725	61.625	126.359773	123.681927	142.829762	16.469988	19.147835	NA
1412965	67.775	61.625	125.473063	123.127377	142.825293	17.35223	19.697916	NA
1412966	67.825	61.625	124.956094	122.664843	142.821365	17.865271	20.156522	NA
1412967	67.875	61.625	125.67802	122.837179	142.81717	17.13915	19.979991	NA
1412968	67.925	61.625	125.740924	122.931787	138.140117	12.399193	15.20833	NA
1413405	89.775	61.625	131.327443	123.331575	138.073299	6.745856	14.741724	NA
1413408	89.925	61.625	131.162569	123.683566	138.009541	6.846972	14.325975	NA
1413409	89.975	61.625	135.435873	123.687264	138.001594	2.565721	14.31433	NA
1413410	90.025	61.625	134.132176	123.513122	137.998371	3.866195	14.485249	NA
1413411	90.075	61.625	135.619001	123.954063	128.9037	-6.715301	4.949637	NA
1413413	90.175	61.625	125.876244	123.296542	146.717647	20.841403	23.421105	NA
1413414	90.225	61.625	124.22816	123.440254	138.467866	14.239706	15.027612	NA
1413427	90.875	61.625	126.211909	123.38284	138.889663	12.677754	15.506823	NA
1413428	90.925	61.625	128.968548	123.876493	146.590433	17.621886	22.71394	NA
1413429	90.975	61.625	127.766527	123.639679	146.58904	18.822514	22.949361	NA
1413529	95.975	61.625	NA	NA	143.873194	NA	NA	NA
1413530	96.025	61.625	NA	NA	143.863735	NA	NA	NA
1413531	96.075	61.625	NA	NA	143.858824	NA	NA	NA
1413532	96.125	61.625	NA	NA	143.851923	NA	NA	NA
1413533	96.175	61.625	NA	NA	143.846184	NA	NA	NA
1419366	61.825	61.575	NA	NA	138.06199	NA	NA	NA
1419367	61.875	61.575	NA	NA	138.06273	NA	NA	NA
1419368	61.925	61.575	NA	NA	138.06651	NA	NA	NA
1419375	62.275	61.575	NA	NA	138.038838	NA	NA	NA
1419376	62.325	61.575	NA	NA	138.579846	NA	NA	NA
1419377	62.375	61.575	NA	NA	138.591418	NA	NA	NA
1419378	62.425	61.575	NA	NA	138.633099	NA	NA	NA
1419379	62.475	61.575	NA	NA	138.664839	NA	NA	NA
1419382	62.625	61.575	NA	NA	138.066692	NA	NA	NA
1419383	62.675	61.575	NA	NA	138.887918	NA	NA	NA
1419384	62.725	61.575	NA	NA	138.690196	NA	NA	NA
1419385	62.775	61.575	NA	NA	138.892301	NA	NA	NA
1419386	62.825	61.575	NA	NA	142.732093	NA	NA	NA
1419488	67.925	61.575	125.740924	122.931787	142.813823	17.072899	19.882036	NA
1419489	67.975	61.575	125.189159	122.673372	142.807277	17.618118	20.133904	NA
1419490	68.025	61.575	124.701234	122.989775	142.802131	18.100896	19.812356	NA
1419491	68.075	61.575	124.608606	123.12426	142.799056	18.19045	19.674795	NA
1419925	89.775	61.575	127.676406	123.502312	138.034673	10.358267	14.53236	NA
1419926	89.825	61.575	133.666127	123.071821	138.02227	4.356143	14.950449	NA
1419927	89.875	61.575	135.245322	123.772874	138.016161	2.770839	14.243287	NA
1419928	89.925	61.575	130.559876	123.721176	138.012051	7.452176	14.290875	NA
1419931	90.075	61.575	135.619001	123.954063	137.992598	2.373597	14.038535	NA
1419932	90.125	61.575	133.075895	123.684703	137.982676	4.906781	14.297973	NA
1419933	90.175	61.575	128.014501	123.894293	133.898339	5.883838	10.004046	NA
1419934	90.225	61.575	132.844047	125.149038	133.895651	1.051603	8.746613	NA
1419950	91.025	61.575	128.435473	123.795019	146.587656	18.152183	22.792637	NA
1419951	91.075	61.575	127.815088	123.115693	146.570262	18.755173	23.454568	NA
1419952	91.125	61.575	125.956014	123.393253	146.562667	20.606653	23.169414	NA
1419953	91.175	61.575	126.600705	123.651791	139.504383	12.903678	15.852593	NA
1425888	61.925	61.525	NA	NA	137.061101	NA	NA	NA
1425889	61.975	61.525	NA	NA	138.094077	NA	NA	NA
1425890	62.025	61.525	NA	NA	138.079614	NA	NA	NA
1425891	62.075	61.525	NA	NA	138.218491	NA	NA	NA
1425892	62.125	61.525	NA	NA	138.190366	NA	NA	NA
1425893	62.175	61.525	NA	NA	138.208222	NA	NA	NA
1425894	62.225	61.525	NA	NA	138.400133	NA	NA	NA
1425895	62.275	61.525	NA	NA	138.427271	NA	NA	NA
1425905	62.775	61.525	NA	NA	142.425768	NA	NA	NA
1425906	62.825	61.525	NA	NA	142.337519	NA	NA	NA
1425907	62.875	61.525	NA	NA	142.396426	NA	NA	NA
1425908	62.925	61.525	NA	NA	142.475951	NA	NA	NA
1426011	68.075	61.525	124.674189	123.180482	135.167204	10.493016	11.986722	NA
1426012	68.125	61.525	125.128493	122.668112	142.796798	17.668306	20.128686	NA
1426013	68.175	61.525	124.844571	122.926636	142.786691	17.94212	19.860055	NA
1426453	90.175	61.525	131.511492	124.317244	135.240618	3.729126	10.923373	NA
1426454	90.225	61.525	133.250859	124.317546	133.893265	0.642405	9.575719	NA
1432428	62.925	61.475	NA	NA	142.466299	NA	NA	NA
1432533	68.175	61.475	124.813955	122.951643	142.784213	17.970258	19.83257	NA
1432534	68.225	61.475	124.787982	122.683021	142.779325	17.991344	20.096305	NA
1432535	68.275	61.475	NA	NA	142.776498	NA	NA	NA
1432971	90.075	61.475	132.769919	123.431796	133.862169	1.092251	10.430373	NA
1432972	90.125	61.475	134.276153	123.466644	133.869081	-0.407072	10.402437	NA
1432973	90.175	61.475	131.40204	124.262233	133.877269	2.475229	9.615036	NA
1439055	68.275	61.425	124.828107	122.78639	142.772896	17.944788	19.986506	NA
1439056	68.325	61.425	NA	NA	137.047311	NA	NA	NA
1439484	89.725	61.425	138.039801	122.297526	133.823743	-4.216058	11.526218	NA
1439485	89.775	61.425	138.405421	123.15142	133.825992	-4.579429	10.674572	NA
1439486	89.825	61.425	137.448963	123.796029	133.829097	-3.619867	10.033068	NA
1439487	89.875	61.425	134.200728	124.601573	133.830906	-0.369821	9.229334	NA
1439488	89.925	61.425	129.166399	123.543526	133.838923	4.672524	10.295397	NA
1439489	89.975	61.425	131.728553	123.050262	133.846451	2.117898	10.796189	NA
1439490	90.025	61.425	129.187604	123.276001	140.343928	11.156324	17.067927	NA
1439491	90.075	61.425	132.769919	123.431796	133.859691	1.089772	10.427895	NA
1439617	96.375	61.425	NA	NA	142.080029	NA	NA	NA
1445576	68.325	61.375	124.718947	122.780602	142.767797	18.04885	19.987195	NA
1446002	89.625	61.375	NA	NA	139.426232	NA	NA	NA
1446003	89.675	61.375	131.281302	124.543986	133.811173	2.529871	9.267187	NA
1446004	89.725	61.375	137.476892	124.195398	133.820655	-3.656237	9.625257	NA
1452095	68.275	61.325	125.370764	122.855972	142.741004	17.370239	19.885032	NA
1452096	68.325	61.325	125.299621	122.898651	142.758714	17.459092	19.860063	NA
1452148	70.925	61.325	NA	NA	137.999098	NA	NA	NA
1452149	70.975	61.325	NA	NA	137.995789	NA	NA	NA
1452522	89.625	61.325	135.258404	124.394063	133.778169	-1.480234	9.384106	NA
1452659	96.475	61.325	NA	NA	142.004205	NA	NA	NA
1458614	68.225	61.275	125.573756	122.631806	142.728894	17.155138	20.097088	NA
1458615	68.275	61.275	125.722231	122.825757	142.738044	17.015813	19.912287	NA
1458637	69.375	61.275	NA	NA	134.86027	NA	NA	NA
1458638	69.425	61.275	124.96951	123.277	143.638993	18.669483	20.361993	NA
1458639	69.475	61.275	124.904602	123.66701	143.616344	18.711741	19.949334	NA
1458640	69.525	61.275	125.685807	123.313251	143.610493	17.924686	20.297242	NA
1458642	69.625	61.275	NA	NA	133.638757	NA	NA	NA
1458643	69.675	61.275	125.662311	123.734857	143.579327	17.917016	19.84447	NA
1458644	69.725	61.275	125.418502	123.15749	143.55963	18.141128	20.402139	NA
1458645	69.775	61.275	125.107469	122.772396	143.54861	18.44114	20.776213	NA
1458646	69.825	61.275	125.132168	123.129186	143.53895	18.406782	20.409763	NA
1458647	69.875	61.275	NA	NA	143.539465	NA	NA	NA
1458654	70.225	61.275	124.995069	123.049879	143.562411	18.567342	20.512532	NA
1458655	70.275	61.275	124.495583	122.932888	143.545273	19.049689	20.612385	NA
1458656	70.325	61.275	125.077709	122.757832	135.41174	10.33403	12.653907	NA
1458657	70.375	61.275	125.467113	122.889627	143.514906	18.047793	20.625279	NA
1458658	70.425	61.275	NA	NA	143.49283	NA	NA	NA
1458659	70.475	61.275	125.1627	123.03062	143.485258	18.322558	20.454638	NA
1458660	70.525	61.275	124.84138	123.229727	143.481756	18.640376	20.252029	NA
1458661	70.575	61.275	125.00976	123.301848	143.472766	18.463005	20.170918	NA
1458662	70.625	61.275	124.992265	123.023473	143.464264	18.472	20.440791	NA
1458663	70.675	61.275	124.767582	123.108316	143.457181	18.689599	20.348865	NA
1458664	70.725	61.275	125.180986	122.801844	143.450669	18.269683	20.648826	NA
1458665	70.775	61.275	125.257756	123.205912	143.442204	18.184448	20.236292	NA
1458666	70.825	61.275	125.034959	123.179022	143.434471	18.399512	20.255449	NA
1458667	70.875	61.275	125.331075	123.040861	143.426331	18.095256	20.385469	NA
1458668	70.925	61.275	124.873301	122.947183	143.418709	18.545407	20.471526	NA
1458669	70.975	61.275	NA	NA	143.409253	NA	NA	NA
1458670	71.025	61.275	NA	NA	143.402715	NA	NA	NA
1458671	71.075	61.275	124.819169	123.072489	143.395657	18.576488	20.323168	NA
1458672	71.125	61.275	124.757705	123.02279	143.36644	18.608734	20.34365	NA
1458673	71.175	61.275	NA	NA	143.345586	NA	NA	NA
1458674	71.225	61.275	NA	NA	137.01963	NA	NA	NA
1458682	71.625	61.275	NA	NA	136.755492	NA	NA	NA
1458683	71.675	61.275	125.564791	122.726523	143.354035	17.789243	20.627512	NA
1458684	71.725	61.275	125.324227	122.894255	143.340842	18.016615	20.446587	NA
1458685	71.775	61.275	124.747735	122.957066	143.395772	18.648037	20.438706	NA
1458686	71.825	61.275	125.336154	122.868871	143.390606	18.054451	20.521734	NA
1458687	71.875	61.275	125.399738	122.967915	143.382838	17.9831	20.414923	NA
1458688	71.925	61.275	125.054338	122.873297	143.374669	18.320331	20.501372	NA
1458689	71.975	61.275	NA	NA	142.147175	NA	NA	NA
1458693	72.175	61.275	NA	NA	138.400528	NA	NA	NA
1458694	72.225	61.275	125.14371	122.994707	143.324082	18.180371	20.329375	NA
1458695	72.275	61.275	125.329677	122.648007	143.305904	17.976227	20.657898	NA
1458696	72.325	61.275	124.996355	122.412633	143.296463	18.300108	20.88383	NA
1458697	72.375	61.275	124.955483	122.687052	143.290596	18.335113	20.603544	NA
1458698	72.425	61.275	125.165009	122.924536	143.280611	18.115602	20.356075	NA
1458699	72.475	61.275	125.433096	123.069407	143.271519	17.838423	20.202112	NA
1458700	72.525	61.275	124.935333	123.075854	143.260442	18.325109	20.184588	NA
1459041	89.575	61.275	NA	NA	134.908069	NA	NA	NA
1459042	89.625	61.275	133.623341	124.676711	133.775618	0.152278	9.098907	NA
1459180	96.525	61.275	NA	NA	141.980556	NA	NA	NA
1459811	128.075	61.275	NA	NA	129.990729	NA	NA	NA
