ID	lon	lat	DOC	POC	discharge	QlagDOC	QlagPOC	FID_1
390464	124.725	69.475	132.583634	150.011974	156.55518	23.971545	6.543205	NA
390465	124.775	69.475	132.599297	150.679197	156.572978	23.973681	5.893781	NA
390466	124.825	69.475	133.55529	152.751904	147.60863	14.05334	-5.143274	NA
396211	86.075	69.425	134.063392	124.57851	161.354231	27.290839	36.775721	NA
396212	86.125	69.425	133.431302	124.283751	148.326795	14.895493	24.043044	NA
396983	124.675	69.425	127.050336	140.653331	147.777395	20.727059	7.124064	NA
396984	124.725	69.425	132.662325	150.660325	156.550682	23.888358	5.890357	NA
402731	86.075	69.375	137.022805	123.909516	148.202056	11.179251	24.29254	NA
402732	86.125	69.375	135.913103	124.107017	148.21077	12.297667	24.103753	NA
403503	124.675	69.375	127.446388	141.657343	156.518026	29.071638	14.860682	NA
409249	85.975	69.325	NA	NA	148.174515	NA	NA	NA
409250	86.025	69.325	136.336863	123.844149	148.196477	11.859614	24.352328	NA
409251	86.075	69.325	137.025422	123.933165	159.644557	22.619135	35.711392	NA
410021	124.575	69.325	NA	NA	145.827241	NA	NA	NA
410022	124.625	69.325	131.522414	148.744631	156.506792	24.984378	7.762161	NA
410023	124.675	69.325	129.795186	146.949531	156.517861	26.722675	9.568331	NA
415769	85.975	69.275	136.623897	124.054022	148.16903	11.545133	24.115008	NA
416539	124.475	69.275	133.069695	151.384023	145.311021	12.241325	-6.073003	NA
416540	124.525	69.275	131.911958	148.880753	156.488002	24.576044	7.60725	NA
416541	124.575	69.275	132.148278	149.512047	156.503184	24.354906	6.991137	NA
422287	85.875	69.225	136.435754	123.818544	148.138973	11.703218	24.320429	NA
422288	85.925	69.225	137.6032	123.792616	148.154881	10.551682	24.362265	NA
422289	85.975	69.225	NA	NA	161.446727	NA	NA	NA
423056	124.325	69.225	NA	NA	145.049022	NA	NA	NA
423057	124.375	69.225	133.039036	150.601697	156.459283	23.420247	5.857586	NA
423058	124.425	69.225	133.460285	151.313892	156.465175	23.00489	5.151283	NA
423059	124.475	69.225	133.082454	151.423589	156.483484	23.40103	5.059895	NA
428807	85.875	69.175	133.211241	124.260494	148.134894	14.923654	23.874401	NA
428808	85.925	69.175	136.152832	123.844564	148.123587	11.970755	24.279023	NA
428809	85.975	69.175	132.7574	124.476343	148.121108	15.363708	23.644764	NA
429574	124.225	69.175	132.871473	151.420003	147.532889	14.661416	-3.887113	NA
429575	124.275	69.175	129.769746	146.753296	156.444341	26.674595	9.691044	NA
429576	124.325	69.175	128.322208	145.812307	156.455122	28.132914	10.642815	NA
430319	161.475	69.175	129.371634	134.57815	158.877183	29.505549	24.299033	NA
435329	85.975	69.125	132.7574	124.476343	161.853959	29.096559	37.377615	NA
435330	86.025	69.125	134.411041	123.755616	148.118771	13.707731	24.363156	NA
435331	86.075	69.125	135.65288	124.007472	148.111837	12.458957	24.104366	NA
436092	124.125	69.125	133.598589	152.382938	145.84134	12.242751	-6.541598	NA
436093	124.175	69.125	133.111384	151.908913	156.429693	23.318309	4.52078	NA
436094	124.225	69.125	132.871473	151.420003	156.441719	23.570245	5.021716	NA
436839	161.475	69.125	128.385894	133.567412	158.866026	30.480132	25.298614	NA
441851	86.075	69.075	136.28216	123.734822	157.603505	21.321345	33.868683	NA
442611	124.075	69.075	NA	NA	156.407832	NA	NA	NA
442612	124.125	69.075	133.522581	152.109484	156.426942	22.904362	4.317459	NA
448370	86.025	69.025	135.77603	123.974039	162.133409	26.35738	38.15937	NA
448371	86.075	69.025	135.747696	123.70451	148.093986	12.34629	24.389476	NA
449130	124.025	69.025	130.683516	147.642854	144.889301	14.205785	-2.753553	NA
449131	124.075	69.025	130.9581	148.421803	156.405005	25.446904	7.983202	NA
449879	161.475	69.025	NA	NA	148.871954	NA	NA	NA
454889	85.975	68.975	137.358331	123.602636	148.037526	10.679195	24.43489	NA
454890	86.025	68.975	136.123707	123.955372	148.05983	11.936123	24.104458	NA
455650	124.025	68.975	128.40075	145.918116	156.376576	27.975826	10.458459	NA
461408	85.925	68.925	134.193714	123.93331	158.115554	23.921841	34.182244	NA
461409	85.975	68.925	136.308697	123.901055	148.032105	11.723408	24.13105	NA
462170	124.025	68.925	130.905009	147.579206	156.355155	25.450146	8.775949	NA
467928	85.925	68.875	135.974544	124.230637	148.016469	12.041925	23.785832	NA
468689	123.975	68.875	128.47922	144.64499	145.268623	16.789403	0.623632	NA
468690	124.025	68.875	128.238305	144.359993	156.342576	28.104272	11.982583	NA
469439	161.475	68.875	127.487653	131.703035	158.675488	31.187834	26.972453	NA
469440	161.525	68.875	127.384639	130.88032	158.728216	31.343577	27.847896	NA
474448	85.925	68.825	135.948335	124.219889	147.99337	12.045035	23.773482	NA
475209	123.975	68.825	131.480657	149.411438	156.314189	24.833532	6.902751	NA
475958	161.425	68.825	127.57874	131.2885	158.648656	31.069916	27.360157	NA
475959	161.475	68.825	NA	NA	155.25737	NA	NA	NA
480968	85.925	68.775	137.08052	123.868889	147.973766	10.893246	24.104877	NA
480969	85.975	68.775	136.967862	123.736433	147.965554	10.997693	24.229121	NA
480970	86.025	68.775	136.118101	124.098732	157.893141	21.77504	33.794409	NA
481729	123.975	68.775	130.911117	149.120377	156.311805	25.400688	7.191428	NA
482418	158.425	68.775	127.70983	131.871287	156.081577	28.371747	24.21029	NA
482419	158.475	68.775	127.293401	130.752155	156.179322	28.885921	25.427167	NA
482420	158.525	68.775	127.08032	131.024782	156.191795	29.111475	25.167013	NA
482421	158.575	68.775	127.100992	131.676022	156.204296	29.103305	24.528274	NA
482422	158.625	68.775	128.425417	132.87698	156.238134	27.812716	23.361153	NA
482423	158.675	68.775	130.640446	134.521865	151.865561	21.225115	17.343697	NA
482433	159.175	68.775	129.129872	132.44167	157.614592	28.48472	25.172922	NA
482434	159.225	68.775	128.548373	132.154077	158.111737	29.563365	25.957661	NA
482476	161.325	68.775	127.834363	132.258829	158.596527	30.762164	26.337697	NA
482477	161.375	68.775	NA	NA	150.631225	NA	NA	NA
487490	86.025	68.725	136.2458	124.318358	147.963119	11.717319	23.644761	NA
487491	86.075	68.725	133.020073	123.862384	147.951452	14.931378	24.089068	NA
487492	86.125	68.725	136.141732	123.806067	147.947441	11.805709	24.141375	NA
487493	86.175	68.725	136.696617	123.550337	161.502061	24.805444	37.951724	NA
488249	123.975	68.725	128.272574	144.468957	156.265863	27.99329	11.796906	NA
488937	158.375	68.725	127.181801	130.280792	156.140032	28.958231	25.85924	NA
488938	158.425	68.725	128.250986	132.114631	156.167688	27.916702	24.053058	NA
488943	158.675	68.725	129.143249	133.123942	156.25315	27.109901	23.129208	NA
488944	158.725	68.725	128.234732	131.882232	157.446286	29.211554	25.564054	NA
488945	158.775	68.725	127.720794	134.104178	157.459452	29.738658	23.355274	NA
488946	158.825	68.725	NA	NA	157.472433	NA	NA	NA
488947	158.875	68.725	127.374948	133.185912	157.481895	30.106947	24.295983	NA
488948	158.925	68.725	127.45828	133.989239	157.494158	30.035879	23.504919	NA
488949	158.975	68.725	127.644774	134.249731	157.505137	29.860363	23.255406	NA
488950	159.025	68.725	NA	NA	157.515526	NA	NA	NA
488951	159.075	68.725	NA	NA	157.563256	NA	NA	NA
488952	159.125	68.725	NA	NA	155.630343	NA	NA	NA
488953	159.175	68.725	128.029936	132.842394	157.630131	29.600195	24.787737	NA
488954	159.225	68.725	127.959381	131.988655	157.642018	29.682637	25.653363	NA
488996	161.325	68.725	NA	NA	157.366611	NA	NA	NA
494013	86.175	68.675	136.30313	123.879004	147.944637	11.641507	24.065633	NA
494014	86.225	68.675	136.415087	123.962077	147.936989	11.521902	23.974912	NA
494015	86.275	68.675	136.910066	124.486079	147.930052	11.019986	23.443973	NA
494769	123.975	68.675	130.417063	147.690581	156.238214	25.821151	8.547633	NA
495455	158.275	68.675	127.401408	131.776207	156.097381	28.695973	24.321174	NA
495456	158.325	68.675	127.01423	130.813739	156.105261	29.09103	25.291522	NA
495457	158.375	68.675	127.137519	130.574407	156.13407	28.996552	25.559664	NA
495473	159.175	68.675	128.378457	132.939171	157.716597	29.33814	24.777426	NA
495515	161.275	68.675	127.213442	130.710974	158.463938	31.250496	27.752964	NA
500535	86.275	68.625	136.868409	124.388803	157.786678	20.918269	33.397875	NA
500536	86.325	68.625	135.860872	124.295722	147.889448	12.028576	23.593726	NA
501288	123.925	68.625	131.258861	148.113171	145.075801	13.81694	-3.03737	NA
501289	123.975	68.625	131.257777	148.110334	156.225079	24.967303	8.114746	NA
501969	157.975	68.625	NA	NA	156.011792	NA	NA	NA
501970	158.025	68.625	127.105429	131.381161	156.021108	28.915679	24.639946	NA
501971	158.075	68.625	127.181638	131.384339	156.034289	28.852651	24.64995	NA
501972	158.125	68.625	127.509641	131.329675	156.047605	28.537965	24.71793	NA
501973	158.175	68.625	127.619819	131.337976	156.061348	28.441529	24.723372	NA
501974	158.225	68.625	127.579965	132.132704	156.083417	28.503452	23.950713	NA
501975	158.275	68.625	128.268907	132.563681	153.228392	24.959485	20.664711	NA
501993	159.175	68.625	128.295812	132.694813	157.772313	29.476501	25.0775	NA
501994	159.225	68.625	126.992898	131.634205	157.779303	30.786405	26.145098	NA
501995	159.275	68.625	126.968397	129.950593	157.78715	30.818753	27.836556	NA
501996	159.325	68.625	127.243967	130.210866	157.80038	30.556413	27.589514	NA
501997	159.375	68.625	127.213248	130.118515	157.811296	30.598049	27.692781	NA
501998	159.425	68.625	128.835507	131.957844	157.831858	28.99635	25.874014	NA
501999	159.475	68.625	127.094913	130.097536	154.552203	27.45729	24.454667	NA
502034	161.225	68.625	128.509486	132.821812	158.449219	29.939733	25.627406	NA
502035	161.275	68.625	128.065886	132.498016	148.882223	20.816337	16.384207	NA
507056	86.325	68.575	NA	NA	155.966897	NA	NA	NA
507057	86.375	68.575	137.645383	123.923635	147.88143	10.236048	23.957795	NA
507808	123.925	68.575	130.383336	147.523524	156.2075	25.824164	8.683976	NA
508489	157.975	68.575	130.250236	134.318809	156.009554	25.759317	21.690744	NA
508519	159.475	68.575	127.094913	130.097536	157.837385	30.742472	27.739849	NA
508520	159.525	68.575	127.19928	130.3666	157.850107	30.650827	27.483507	NA
508521	159.575	68.575	127.309509	130.315848	157.865949	30.55644	27.5501	NA
508522	159.625	68.575	127.240175	130.208007	157.883582	30.643406	27.675574	NA
508523	159.675	68.575	127.066094	129.819304	157.895024	30.828929	28.07572	NA
508524	159.725	68.575	127.139536	130.182517	157.910403	30.770867	27.727886	NA
508525	159.775	68.575	127.297181	130.904359	157.927474	30.630293	27.023116	NA
508526	159.825	68.575	NA	NA	157.936976	NA	NA	NA
508527	159.875	68.575	126.585614	130.554242	157.953581	31.367967	27.399339	NA
508528	159.925	68.575	126.62281	130.478219	157.981063	31.358253	27.502844	NA
508529	159.975	68.575	126.933347	130.513782	154.660254	27.726907	24.146472	NA
508553	161.175	68.575	127.464101	130.883902	158.393145	30.929044	27.509242	NA
508554	161.225	68.575	129.903998	134.996412	147.45782	17.553822	12.461408	NA
513577	86.375	68.525	137.880283	123.962859	147.865568	9.985285	23.902709	NA
513770	96.025	68.525	NA	NA	166.716789	NA	NA	NA
513771	96.075	68.525	NA	NA	166.845693	NA	NA	NA
514328	123.925	68.525	127.012915	143.218321	156.190947	29.178032	12.972626	NA
515009	157.975	68.525	NA	NA	153.585442	NA	NA	NA
515010	158.025	68.525	129.032278	132.240396	155.994842	26.962565	23.754447	NA
515049	159.975	68.525	127.482763	130.131617	157.994232	30.511469	27.862616	NA
515050	160.025	68.525	127.289201	130.064833	158.003195	30.713993	27.938361	NA
515051	160.075	68.525	126.824825	130.23229	158.011144	31.18632	27.778854	NA
515052	160.125	68.525	127.229805	130.53788	158.023707	30.793902	27.485827	NA
515053	160.175	68.525	127.15585	131.150456	158.034703	30.878853	26.884247	NA
515054	160.225	68.525	127.028106	130.619677	158.049739	31.021633	27.430062	NA
515055	160.275	68.525	127.197158	131.49456	158.060968	30.863809	26.566407	NA
515056	160.325	68.525	127.406707	132.01315	158.071418	30.664711	26.058268	NA
515057	160.375	68.525	128.845174	133.423711	158.085713	29.240538	24.662001	NA
